rowid,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
12710,DEU,Germany,Dow Stade,WRI1005639,173.0,53.6519,9.5079,Gas,,,,2014.0,Dow Deutschland Anlagengesellschaft mbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1013779,,,,,,,,,,,,,,670.44,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12715,DEU,Germany,Duisburg Hamborn,WRI1005641,385.0,51.491,6.7275,Gas,,,,1958.0,ThyssenKrupp Steel Europe AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1050044,,,,,1261.763,,,,JRC-PPDB-OPEN,,,,,1492.02,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12716,DEU,Germany,Duisburg Ruhrort,WRI1005642,315.0,51.4597,6.7306,Gas,,,,,ThyssenKrupp Steel Europe AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,1220.75,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12731,DEU,Germany,EVC / GLOBALFOUNDRIES,WRI1005671,34.3,51.127,13.715,Gas,,,,1998.0,Energieversorgungscenter Dresden-Wilschdorf GmbH & Co. KG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,132.92,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12743,DEU,Germany,Egger Kraftwerk Briilon 2,WRI1005652,13.5,51.4085,8.5999,Gas,,,,1996.0,Egger Kraftwerk Brilon GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,52.31,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12758,DEU,Germany,Emden Natural Gas,WRI1005657,50.0,53.3422,7.2062,Gas,,,,1973.0,Statkraft Markets GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,193.77,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12761,DEU,Germany,Emsland,WRI1005658,1837.0,52.4819,7.3067,Gas,,,,,RWE Generation SE,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,1285.332,4207.677,4307.275,,,JRC-PPDB-OPEN,,,,,7119.1,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12763,DEU,Germany,Energiezentrale,WRI1005661,11.1,51.5744,7.2979,Gas,,,,1991.0,RÃœTGERS InfraTec GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1108149,,,,,,,,,,,,,,43.01,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12764,DEU,Germany,Energiezentrale 1992,WRI1005662,11.06,48.3591,11.7903,Gas,,,,1992.0,Flughafen München GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,42.86,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12765,DEU,Germany,Energiezentrum Mohn Media,WRI1005663,22.0,51.9073,8.4088,Gas,,,,1994.0,Mohn Media Mohndruck GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,85.25,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12773,DEU,Germany,Erweiterung Energiezentrale 2003,WRI1005668,7.44,48.3591,11.7903,Gas,,,,2003.0,Flughafen München GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,28.83,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12779,DEU,Germany,FS-Karton,WRI1005684,18.9,51.2171,6.6965,Gas,,,,1992.0,FS-Karton GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1022446,,,,,,,,,,,,,,73.24,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
